grid_section_lat,grid_section_long,venue,v_lat,v_long,category,group,type
43.8198143,-111.79249080000001,Heritage Apartments,43.816517243525,-111.787359545555,College Residence Hall,College Residence Hall,College & University
43.8198143,-111.79249080000001,Facebookism,43.817935999999996,-111.78668700000001,Electronics Store,Electronics Store,Shop & Service
43.8198143,-111.79249080000001,Ice Cloud,43.817868,-111.78768600000001,Ice Cream Shop,Dessert Shop,Food
43.8198143,-111.79249080000001,Andrew's Piano Paradise,43.816387,-111.78806100000001,Piano Bar,Music Venue,Arts & Entertainment
43.8198143,-111.79249080000001,Empty Cupboards,43.815796999999996,-111.78888,Mac & Cheese Joint,Mac & Cheese Joint,Food
43.8198143,-111.79249080000001,Craigos Sourdough Pizza,43.817745,-111.787543,Pizza Place,Pizza Place,Food
43.8198143,-111.789165866667,BYU-Idaho Center,43.8184823970673,-111.784698604449,Performing Arts Venue,Performing Arts Venue,Arts & Entertainment
43.8198143,-111.789165866667,Nielson's,43.8177719116211,-111.785209655762,Ice Cream Shop,Dessert Shop,Food
43.8198143,-111.789165866667,Hart pool,43.81953430175779,-111.784385681152,Pool,Pool,Outdoors & Recreation
43.8198143,-111.789165866667,Thor Hall,43.81983989865579,-111.78537368774401,Historic Site,Historic Site,Arts & Entertainment
43.8198143,-111.789165866667,barrus hall,43.8190202208905,-111.784050410745,College Theater,College Theater,College & University
43.8198143,-111.789165866667,Somerset Apartments Lounge,43.816179,-111.787021,General Entertainment,General Entertainment,Arts & Entertainment
43.8198143,-111.789165866667,Hart Booth,43.819652000000005,-111.78564399999999,College Auditorium,College Auditorium,College & University
43.8198143,-111.789165866667,Mountain Pines,43.817438,-111.787197,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8198143,-111.78584093333299,BYUI I-Center Track,43.8194949282533,-111.784024581245,Athletics & Sports,Athletics & Sports,Outdoors & Recreation
43.8198143,-111.78584093333299,Freshëns,43.8184678954283,-111.783091873379,Bagel Shop,Bagel Shop,Food
43.8198143,-111.78584093333299,Moxie Office Rexburg,43.8180060016559,-111.787453399599,Club House,Club House,Professional & Other Places
43.8198143,-111.78584093333299,MC Event Management Office,43.818218121350405,-111.782927513123,Conference Room,Office,Professional & Other Places
43.8198143,-111.78584093333299,The Writing Center,43.81918734063721,-111.783236610702,College Library,College Library,College & University
